case,view_id,time_index,reference_DGP,reference_Ev_lx,EIGCM_DGP,EIGCM_Ev_lx,Jones_dcglare_DGP,Jones_dcglare_Ev_lx,Raytraverse_Balanced_DGP,Raytraverse_Balanced_Ev_lx,Raytraverse_High_DGP,Raytraverse_High_Ev_lx
C1,5,8532,0.39879,3912.414,0.405398,4095.5027,0.403456,4045.67675781,0.38915594,3747.62133001,0.39422791,3805.81242872
C1,5,8533,0.439502,4629.001,0.4306133,4549.9517,0.4399741,4553.97216797,0.42471795,4333.33549368,0.43087784,4425.44990464
C1,5,8534,0.439083,4465.527,0.4396217,4654.6538,0.448547,4761.10253906,0.42029172,4256.89508586,0.43607339,4493.17455108
C1,5,8535,0.37724,3518.903,0.3943044,3847.7581,0.3875056,3705.2565918,0.35374032,3048.61591633,0.37513106,3381.86893702
C1,5,8536,0.204597,776.774,0.2057826,796.97858,0.20682945,797.77947998,0.202751,728.29638314,0.20453257,758.64681922
C1,6,1902,0.174009,255.695,0.1744704,263.55075,0.17620592,276.08526611,0.17339809,228.24692049,0.17387691,236.40385899
C1,6,1903,0.211307,891.088,0.2099664,868.25281,0.21189671,884.10266113,0.2088329,831.90622585,0.21021333,855.42296518
C1,6,1904,0.406864,4073.615,0.4045383,4148.4668,0.4151864,4289.28125,0.39603733,3906.33942056,0.39198086,3830.58644079
C1,6,1905,0.802001,6484.182,0.8359052,6757.563,0.5376042,6367.91650391,0.90388802,7558.41464401,0.90825488,7647.71132735
C1,6,1906,0.369918,3512.464,0.3593106,3392.9575,0.3679018,3454.75292969,0.35805646,3279.9546102,0.36358524,3366.09086308
C1,6,1907,0.403446,4079.856,0.3924201,3945.0852,0.4012187,4017.78027344,0.39037468,3825.54937835,0.39670955,3927.37419416
C1,6,1908,0.421786,4392.087,0.4083698,4214.917,0.4177326,4293.85253906,0.40539483,4078.58665481,0.41285533,4199.19274605
C1,6,1909,0.417285,4314.256,0.4058683,4170.0889,0.4155104,4248.52929688,0.40477346,4061.76004348,0.40985487,4142.45725521
C1,6,1910,0.394102,3917.74,0.3848768,3808.5435,0.3944684,3879.12548828,0.38107785,3652.61952615,0.38839161,3767.19885137
C1,6,1911,0.350113,3169.832,0.3432265,3092.4678,0.3522538,3149.85473633,0.33909856,2930.49242371,0.34667587,3044.59019617
C1,6,1912,0.289377,2133.093,0.282522,2069.918,0.29114,2108.62109375,0.28020619,1923.27970876,0.28719941,2020.51799463
C1,6,1913,0.369,3371.466,0.3715355,3251.7532,0.3785808,3314.42138672,0.34510827,2725.46012939,0.37352527,3124.81546791
C1,6,4109,0.159909,15.484,0.159881,15.008255,0.16089672,15.27910995,0.16083886,14.29070301,0.16086714,14.77232741
C1,6,4110,0.168601,163.568,0.168333,158.99445,0.16950095,161.87031555,0.16893979,152.29628961,0.16917253,156.26109249
C1,6,4111,0.179079,342.068,0.1785367,332.82242,0.17989017,338.84658813,0.17871562,318.83512974,0.17920844,327.23074174
C1,6,4112,0.190741,540.734,0.1896491,522.1311,0.19120375,531.58123779,0.18917177,496.96374595,0.19013219,513.32520222
C1,6,4113,0.201249,719.751,0.1998344,695.64569,0.20157276,708.22619629,0.19906893,665.56955054,0.20013932,683.8045069
C1,6,4114,0.209644,862.753,0.2080942,836.35797,0.20998052,851.45977783,0.20703182,801.22357732,0.20832118,823.18870321
